selection_index,mode,quality,sample_id,task_family,compact_audit_file,automatic_instruction_hash,automatic_change_applied,automatic_no_explicit_answer_field,automatic_required_prompt_markers,human_semantic_valid_yes_no,human_notes
1,relevant,25,tcm-0008,eight_principles,manual_audit_21/packets/01_relevant_eight_principles_tcm-0008_q025.md,PASS,PASS,PASS,PASS,yes,
2,relevant,75,tcm-0028,etiology,manual_audit_21/packets/02_relevant_etiology_tcm-0028_q075.md,PASS,PASS,PASS,PASS,yes,
3,relevant,50,tcm-0055,qi_blood_body_fluids,manual_audit_21/packets/03_relevant_qi_blood_body_fluids_tcm-0055_q050.md,PASS,PASS,PASS,PASS,yes,
4,relevant,25,tcm-0043,six_meridian,manual_audit_21/packets/04_relevant_six_meridian_tcm-0043_q025.md,PASS,PASS,PASS,PASS,yes,
5,relevant,75,tcm-0072,triple_burner,manual_audit_21/packets/05_relevant_triple_burner_tcm-0072_q075.md,PASS,PASS,PASS,PASS,yes,
6,relevant,0,tcm-0079,wei_qi_ying_xue,manual_audit_21/packets/06_relevant_wei_qi_ying_xue_tcm-0079_q000.md,PASS,PASS,PASS,PASS,no,删除内容未直接涉及“疮疡阳气脱陷”，主要为鼓胀、瘰疬、身重和浮肿知识，不能证明其确实支持冻结参考字段。
7,relevant,0,tcm-0092,zang_fu,manual_audit_21/packets/07_relevant_zang_fu_tcm-0092_q000.md,PASS,PASS,PASS,PASS,yes,
8,random,0,tcm-0006,eight_principles,manual_audit_21/packets/08_random_eight_principles_tcm-0006_q000.md,PASS,PASS,PASS,PASS,yes,
9,random,50,tcm-0023,etiology,manual_audit_21/packets/09_random_etiology_tcm-0023_q050.md,PASS,PASS,PASS,PASS,yes,
10,random,75,tcm-0055,qi_blood_body_fluids,manual_audit_21/packets/10_random_qi_blood_body_fluids_tcm-0055_q075.md,PASS,PASS,PASS,PASS,yes,
11,random,0,tcm-0040,six_meridian,manual_audit_21/packets/11_random_six_meridian_tcm-0040_q000.md,PASS,PASS,PASS,PASS,yes,
12,random,50,tcm-0067,triple_burner,manual_audit_21/packets/12_random_triple_burner_tcm-0067_q050.md,PASS,PASS,PASS,PASS,yes,
13,random,25,tcm-0076,wei_qi_ying_xue,manual_audit_21/packets/13_random_wei_qi_ying_xue_tcm-0076_q025.md,PASS,PASS,PASS,PASS,yes,
14,random,75,tcm-0098,zang_fu,manual_audit_21/packets/14_random_zang_fu_tcm-0098_q075.md,PASS,PASS,PASS,PASS,yes,
15,conflict,75,tcm-0008,eight_principles,manual_audit_21/packets/15_conflict_eight_principles_tcm-0008_q075.md,PASS,PASS,PASS,PASS,yes,
16,conflict,25,tcm-0018,etiology,manual_audit_21/packets/16_conflict_etiology_tcm-0018_q025.md,PASS,PASS,PASS,PASS,yes,
17,conflict,0,tcm-0047,qi_blood_body_fluids,manual_audit_21/packets/17_conflict_qi_blood_body_fluids_tcm-0047_q000.md,PASS,PASS,PASS,PASS,yes,
18,conflict,50,tcm-0038,six_meridian,manual_audit_21/packets/18_conflict_six_meridian_tcm-0038_q050.md,PASS,PASS,PASS,PASS,yes,
19,conflict,25,tcm-0064,triple_burner,manual_audit_21/packets/19_conflict_triple_burner_tcm-0064_q025.md,PASS,PASS,PASS,PASS,yes,
20,conflict,0,tcm-0086,wei_qi_ying_xue,manual_audit_21/packets/20_conflict_wei_qi_ying_xue_tcm-0086_q000.md,PASS,PASS,PASS,PASS,no,注入内容仍支持气分热与下焦湿热主轴，与冻结字段“气分证、下焦湿热证”并不构成实质不兼容。
21,conflict,50,tcm-0095,zang_fu,manual_audit_21/packets/21_conflict_zang_fu_tcm-0095_q050.md,PASS,PASS,PASS,PASS,yes,
